,0,1,2,3
859,1038,207983,23,0
860,1039,207983,23,0
861,1040,207983,18,0
862,1041,207983,24,0
863,1042,207983,22,0
864,1043,207983,2,0
865,1044,208020,7,0
866,1045,208020,2,0
867,1046,208020,0,11
868,1047,208020,0,19
869,1048,208015,21,0
870,1049,208015,14,0
871,1050,208015,20,0
872,1051,208015,13,0
873,1052,208015,2,0
874,1053,208015,18,0
875,1054,208015,2,0
876,1055,208015,2,0
877,1056,208015,0,31
878,1057,208015,0,25
879,1058,208015,0,31
880,1059,208015,0,25
881,1060,208015,11,0
882,1074,208019,22,0
883,1075,208019,2,0
884,1076,208019,18,0
885,1077,208019,17,0
886,1078,208019,18,0
887,1079,208019,21,0
888,1080,208018,22,0
889,1081,208018,16,0
890,1082,208018,16,0
891,1083,208018,18,0
892,1084,208018,15,0
893,1085,208018,23,0
894,1086,208018,0,5
895,1087,208018,0,6
896,1088,208018,13,0
897,1089,208017,19,0
898,1090,208017,7,0
899,1091,208021,16,0
900,1092,208021,16,0
901,1093,208021,20,0
902,1094,208021,15,0
903,1095,208021,18,0
904,1096,208021,1,0
905,1097,208021,15,0
906,1098,208021,10,0
907,1099,208021,24,0
908,1100,208021,18,0
909,1101,208021,2,0
910,1102,208021,3,0
911,1103,208021,2,0
912,1104,208021,17,0
913,1105,208021,12,0
914,1106,208021,14,0
915,1107,208021,17,0
916,1110,315272,23,0
917,1111,315272,18,0
918,1112,315272,12,0
919,1113,315272,13,0
920,1114,315272,23,0
921,1115,313879,3,0
922,1116,313879,17,0
923,1117,316220,8,0
924,1118,316220,8,0
925,1119,316220,8,0
926,1120,316220,4,0
927,1121,316220,9,0
928,1122,316220,22,0
929,1123,316220,2,0
930,1124,316220,14,0
931,1125,316220,23,0
932,1126,316220,20,0
933,1127,316220,23,0
934,1128,312797,3,0
935,1129,312797,7,0
936,1130,312797,3,0
937,1131,312797,6,0
938,1132,312797,4,0
939,1133,312797,12,0
940,1134,312797,4,0
941,1135,312797,4,0
942,1136,312797,2,0
943,1137,312797,6,0
944,1138,312797,4,0
945,1139,312797,3,0
946,1140,226868,17,0
947,1141,226868,19,0
948,1142,226868,4,0
949,1143,226868,19,0
