,max_depth,min_samples_leaf,learn_rate,accuracy
456,43.0,5.0,1.639395973,16.0
457,35.0,8.0,1.171946309,16.0
458,44.0,5.0,1.439060403,16.0
459,58.0,11.0,1.906510067,16.0
460,30.0,10.0,1.252080537,16.0
461,64.0,12.0,1.011677852,15.0
462,31.0,5.0,1.759597315,15.0
463,32.0,13.0,1.679463087,15.0
464,45.0,7.0,1.185302013,15.0
465,52.0,9.0,1.465771812,15.0
466,60.0,16.0,1.853087248,15.0
467,42.0,10.0,1.452416107,15.0
468,39.0,6.0,1.813020134,15.0
469,54.0,15.0,1.839731544,15.0
470,61.0,16.0,1.051744966,15.0
471,29.0,13.0,1.933221477,14.0
472,45.0,4.0,1.826375839,14.0
473,50.0,7.0,1.025033557,14.0
474,23.0,10.0,2.0,14.0
475,64.0,15.0,1.639395973,14.0
476,51.0,9.0,1.011677852,13.0
477,44.0,9.0,1.452416107,13.0
478,33.0,7.0,1.946577181,13.0
479,52.0,16.0,1.946577181,13.0
480,41.0,5.0,1.332214765,13.0
481,42.0,5.0,1.011677852,12.0
482,45.0,12.0,1.879798658,12.0
483,34.0,4.0,1.986644295,12.0
484,34.0,15.0,1.732885906,12.0
485,25.0,8.0,1.57261745,11.0
486,41.0,9.0,1.79966443,11.0
487,45.0,7.0,1.54590604,11.0
488,53.0,3.0,1.79966443,11.0
489,53.0,6.0,1.332214765,11.0
490,52.0,16.0,1.585973154,10.0
491,54.0,5.0,1.078456376,10.0
492,56.0,10.0,1.919865772,10.0
493,31.0,3.0,1.959932886,10.0
494,22.0,3.0,1.398993289,10.0
495,40.0,4.0,1.626040268,10.0
496,26.0,6.0,1.839731544,10.0
497,58.0,4.0,1.786308725,10.0
498,44.0,8.0,1.599328859,10.0
499,27.0,6.0,1.372281879,10.0
